ticker,var_level,best_model,breach_rate_actual,breach_rate_expected,breach_error,breaches,n_obs
AAPL,95%,RegimeSwitchVol,0.0518962075848303,0.05,0.0018962075848302992,130,2505
AAPL,99%,RegimeSwitchVol,0.0219560878243512,0.01,0.0119560878243512,55,2505
JPM,95%,RegimeSwitchVol,0.0479041916167664,0.05,0.002095808383233602,120,2505
JPM,99%,RegimeSwitchVol,0.022754491017964,0.01,0.012754491017964,57,2505
MSFT,95%,RegimeSwitchVol,0.0534930139720558,0.05,0.0034930139720558,134,2505
MSFT,99%,GBM,0.022754491017964,0.01,0.012754491017964,57,2505
SPY,95%,GBM,0.0542914171656686,0.05,0.004291417165668596,136,2505
SPY,99%,RegimeSwitchVol,0.0255489021956087,0.01,0.015548902195608701,64,2505
TSLA,95%,RegimeSwitchVol,0.0502994011976047,0.05,0.00029940119760469425,126,2505
TSLA,99%,GBM,0.0191616766467065,0.01,0.0091616766467065,48,2505
XOM,95%,GBM,0.049500998003992,0.05,0.0004990019960080042,124,2505
XOM,99%,JumpDiffusion,0.0167664670658682,0.01,0.0067664670658682,42,2505
