ticker,model,var_level,n_obs,breaches,breach_rate,expected_rate,breach_error
AAPL,GBM,0.95,2505,139,0.0554890219560878,0.05,0.005489021956087796
AAPL,GBM,0.99,2505,56,0.0223552894211576,0.01,0.012355289421157599
JPM,GBM,0.95,2505,113,0.0451097804391217,0.05,0.004890219560878303
JPM,GBM,0.99,2505,60,0.0239520958083832,0.01,0.0139520958083832
MSFT,GBM,0.95,2505,139,0.0554890219560878,0.05,0.005489021956087796
MSFT,GBM,0.99,2505,57,0.022754491017964,0.01,0.012754491017964
SPY,GBM,0.95,2505,136,0.0542914171656686,0.05,0.004291417165668596
SPY,GBM,0.99,2505,73,0.0291417165668662,0.01,0.019141716566866203
TSLA,GBM,0.95,2505,118,0.0471057884231536,0.05,0.0028942115768464047
TSLA,GBM,0.99,2505,48,0.0191616766467065,0.01,0.0091616766467065
XOM,GBM,0.95,2505,124,0.049500998003992,0.05,0.0004990019960080042
XOM,GBM,0.99,2505,44,0.017564870259481,0.01,0.007564870259480999
AAPL,JumpDiffusion,0.95,2505,164,0.0654690618762475,0.05,0.015469061876247497
AAPL,JumpDiffusion,0.99,2505,60,0.0239520958083832,0.01,0.0139520958083832
JPM,JumpDiffusion,0.95,2505,141,0.0562874251497006,0.05,0.006287425149700598
JPM,JumpDiffusion,0.99,2505,60,0.0239520958083832,0.01,0.0139520958083832
MSFT,JumpDiffusion,0.95,2505,155,0.06187624750499,0.05,0.011876247504989994
MSFT,JumpDiffusion,0.99,2505,62,0.024750499001996,0.01,0.014750499001995999
SPY,JumpDiffusion,0.95,2505,153,0.0610778443113772,0.05,0.011077844311377198
SPY,JumpDiffusion,0.99,2505,65,0.0259481037924151,0.01,0.015948103792415097
TSLA,JumpDiffusion,0.95,2505,143,0.0570858283433133,0.05,0.007085828343313297
TSLA,JumpDiffusion,0.99,2505,51,0.0203592814371257,0.01,0.0103592814371257
XOM,JumpDiffusion,0.95,2505,146,0.0582834331337325,0.05,0.008283433133732497
XOM,JumpDiffusion,0.99,2505,42,0.0167664670658682,0.01,0.0067664670658682
AAPL,RegimeSwitchVol,0.95,2505,130,0.0518962075848303,0.05,0.0018962075848302992
AAPL,RegimeSwitchVol,0.99,2505,55,0.0219560878243512,0.01,0.0119560878243512
JPM,RegimeSwitchVol,0.95,2505,120,0.0479041916167664,0.05,0.002095808383233602
JPM,RegimeSwitchVol,0.99,2505,57,0.022754491017964,0.01,0.012754491017964
MSFT,RegimeSwitchVol,0.95,2505,134,0.0534930139720558,0.05,0.0034930139720558
MSFT,RegimeSwitchVol,0.99,2505,57,0.022754491017964,0.01,0.012754491017964
SPY,RegimeSwitchVol,0.95,2505,145,0.0578842315369261,0.05,0.0078842315369261
SPY,RegimeSwitchVol,0.99,2505,64,0.0255489021956087,0.01,0.015548902195608701
TSLA,RegimeSwitchVol,0.95,2505,126,0.0502994011976047,0.05,0.00029940119760469425
TSLA,RegimeSwitchVol,0.99,2505,51,0.0203592814371257,0.01,0.0103592814371257
XOM,RegimeSwitchVol,0.95,2505,134,0.0534930139720558,0.05,0.0034930139720558
XOM,RegimeSwitchVol,0.99,2505,44,0.017564870259481,0.01,0.007564870259480999
